EL1 in a plain VM (no EL2)	GXF_CONFIG_EL1	S3_6_C15_C1_2	write(old|1)	trap-to-vmm	TRAP->VMM      ESR=0x6235bc22 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_2 write <- x1
EL1 in a plain VM (no EL2)	GXF_CONFIG_EL1	S3_6_C15_C1_2	read-back	trap-to-vmm	TRAP->VMM      ESR=0x6235bc43 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_2 read -> x2
EL1 in a plain VM (no EL2)	GXF_ENTRY_EL1	S3_6_C15_C8_1	write stub addr	trap-to-vmm	TRAP->VMM      ESR=0x6233bc30 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C8_1 write <- x1
EL1 in a plain VM (no EL2)	GXF_ENTRY_EL1	S3_6_C15_C8_1	read-back	trap-to-vmm	TRAP->VMM      ESR=0x6233bc51 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C8_1 read -> x2
EL1 in a plain VM (no EL2)	genter		exec	guest-exception	GUEST-EXC@EL1  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL1 in a plain VM (no EL2)	CURRENTG	S3_6_C15_C8_0	read	trap-to-vmm	TRAP->VMM      ESR=0x6231bc11 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C8_0 read -> x0
EL1 in a plain VM (no EL2)	gexit (not in GL)		exec	guest-exception	GUEST-EXC@EL1  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL1 in a plain VM (no EL2)	GXF_CONFIG_EL1	S3_6_C15_C1_2	write(restore)	trap-to-vmm	TRAP->VMM      ESR=0x6235bca2 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_2 write <- x5
EL2 in an EL2-enabled (nested-virt) VM	CurrentEL	S3_0_C4_C2_2	read	native	NATIVE         value=0x0000000000000008
EL2 in an EL2-enabled (nested-virt) VM	MIDR_EL1	S3_0_C0_C0_0	read	native	NATIVE         value=0x00000000610f0000
EL2 in an EL2-enabled (nested-virt) VM	ID_AA64PFR0_EL1	S3_0_C0_C4_0	read	native	NATIVE         value=0x1101000010110011
